couptf3	ZDB-GENE-000112-32
couptf4	ZDB-GENE-000112-34
couptf5	ZDB-GENE-000112-36
ppara2	ZDB-GENE-000112-40
ppardb	ZDB-GENE-000112-47
igfbp2a	ZDB-GENE-000125-12
dlc	ZDB-GENE-000125-4
dbx1b	ZDB-GENE-000128-11
dbx2	ZDB-GENE-000128-13
dbx1a	ZDB-GENE-000128-8
kal1b	ZDB-GENE-000201-13
pbx4	ZDB-GENE-000201-18
kal1a	ZDB-GENE-000201-9
crestin	ZDB-GENE-000208-13
calr3a	ZDB-GENE-000208-17
urod	ZDB-GENE-000208-18
mixl1	ZDB-GENE-000208-20
kifc1	ZDB-GENE-000208-21
col11a2	ZDB-GENE-000208-23
bmp7a	ZDB-GENE-000208-25
ccl27a	ZDB-GENE-000208-28
zic1	ZDB-GENE-000208-4
copg2	ZDB-GENE-000208-8
cmn	ZDB-GENE-000208-9
robo1	ZDB-GENE-000209-3
robo3	ZDB-GENE-000209-4
tpst1	ZDB-GENE-000210-10
nccrp1	ZDB-GENE-000210-13
btg2	ZDB-GENE-000210-15
hug	ZDB-GENE-000210-17
rbp4	ZDB-GENE-000210-19
cat	ZDB-GENE-000210-20
inhbaa	ZDB-GENE-000210-21
meis2b	ZDB-GENE-000210-23
khdrbs1a	ZDB-GENE-000210-25
chico	ZDB-GENE-000210-28
vdra	ZDB-GENE-000210-31
nme2b.1	ZDB-GENE-000210-32
nme2b.2	ZDB-GENE-000210-33
nme3	ZDB-GENE-000210-34
nme7	ZDB-GENE-000210-35
twist1a	ZDB-GENE-000210-6
twist3	ZDB-GENE-000210-7
pcna	ZDB-GENE-000210-8
phox2a	ZDB-GENE-000223-14
igf2bp3	ZDB-GENE-000308-1
actc1b	ZDB-GENE-000322-1
tnnc2	ZDB-GENE-000322-2
tnnt3a	ZDB-GENE-000322-3
pvalb2	ZDB-GENE-000322-4
myhz1.1	ZDB-GENE-000322-5
mylz3	ZDB-GENE-000322-6
tbr1b	ZDB-GENE-000323-1
hoxb10a	ZDB-GENE-000328-2
fzd8a	ZDB-GENE-000328-3
fzd8b	ZDB-GENE-000328-4
hoxc9a	ZDB-GENE-000328-5
actb1	ZDB-GENE-000329-1
or111-10	ZDB-GENE-000329-10
